gene_id,1BS,1DS,2BS,2DS,3BS,3DS
g66214,715,180,563,492,375,755
g66217,201,120,131,128,82,146
g66215,1633,935,1140,1321,776,2114
g66216,5681,3318,4746,4436,3492,5529
g66221,2426,1904,3255,2619,2047,3126
g66222,373,148,456,299,315,354
g66223,826,496,1167,538,775,726
g66227,0,0,0,0,0,0
g66228,0,0,0,0,0,9
g66229,2,3,6,2,2,0
g66231,108,95,88,62,84,99
g66232,101,152,20,23,30,41
g66233,17,3,0,7,0,0
g66234,0,5,0,7,0,0
g66235,370,184,339,502,225,341
g66239,1,2,4,4,2,0
g66240,33,18,15,15,19,16
g66241,3,1,9,8,3,3
g66246,0,0,0,0,0,3
g66247,0,4,0,0,8,0
g66248,0,0,0,0,0,0
g66249,0,0,0,0,0,0
